+--------------------------+--------------------------+----------------------------------------------------------------------------------------------------------+
|       Launch Clock       |      Capture Clock       |                                                 Pin                                                      |
+--------------------------+--------------------------+----------------------------------------------------------------------------------------------------------+
| clk_out1_design_test_ultrason_clk_wiz_0 |              sys_clk_pin |                           design_test_ultrason_i/ila_0/U0/ila_core_inst/shifted_data_in_reg[7][39]_srl8/D|
| clk_out1_design_test_ultrason_clk_wiz_0 |              sys_clk_pin |                           design_test_ultrason_i/ila_0/U0/ila_core_inst/shifted_data_in_reg[7][23]_srl8/D|
| clk_out1_design_test_ultrason_clk_wiz_0 |              sys_clk_pin |                            design_test_ultrason_i/ila_0/U0/ila_core_inst/shifted_data_in_reg[7][7]_srl8/D|
| clk_out1_design_test_ultrason_clk_wiz_0 |              sys_clk_pin |design_test_ultrason_i/ila_0/U0/ila_core_inst/u_trig/U_TM/N_DDR_MODE.G_NMU[8].U_M/allx_typeA_match_detection.ltlib_v1_0_0_allx_typeA_inst/probeDelay1_reg[0]/D|
| clk_out1_design_test_ultrason_clk_wiz_0 |              sys_clk_pin |                           design_test_ultrason_i/ila_0/U0/ila_core_inst/shifted_data_in_reg[7][31]_srl8/D|
| clk_out1_design_test_ultrason_clk_wiz_0 |              sys_clk_pin |design_test_ultrason_i/ila_0/U0/ila_core_inst/u_trig/U_TM/N_DDR_MODE.G_NMU[8].U_M/allx_typeA_match_detection.ltlib_v1_0_0_allx_typeA_inst/probeDelay1_reg[2]/D|
| clk_out1_design_test_ultrason_clk_wiz_0 |              sys_clk_pin |                           design_test_ultrason_i/ila_0/U0/ila_core_inst/shifted_data_in_reg[7][37]_srl8/D|
| clk_out1_design_test_ultrason_clk_wiz_0 |              sys_clk_pin |                           design_test_ultrason_i/ila_0/U0/ila_core_inst/shifted_data_in_reg[7][16]_srl8/D|
| clk_out1_design_test_ultrason_clk_wiz_0 |              sys_clk_pin |                           design_test_ultrason_i/ila_0/U0/ila_core_inst/shifted_data_in_reg[7][19]_srl8/D|
| clk_out1_design_test_ultrason_clk_wiz_0 |              sys_clk_pin |design_test_ultrason_i/ila_0/U0/ila_core_inst/u_trig/U_TM/N_DDR_MODE.G_NMU[7].U_M/allx_typeA_match_detection.ltlib_v1_0_0_allx_typeA_inst/probeDelay1_reg[11]/D|
| clk_out1_design_test_ultrason_clk_wiz_0 |              sys_clk_pin |design_test_ultrason_i/ila_0/U0/ila_core_inst/u_trig/U_TM/N_DDR_MODE.G_NMU[7].U_M/allx_typeA_match_detection.ltlib_v1_0_0_allx_typeA_inst/probeDelay1_reg[9]/D|
| clk_out1_design_test_ultrason_clk_wiz_0 |              sys_clk_pin |design_test_ultrason_i/ila_0/U0/ila_core_inst/u_trig/U_TM/N_DDR_MODE.G_NMU[4].U_M/allx_typeA_match_detection.ltlib_v1_0_0_allx_typeA_inst/probeDelay1_reg[0]/D|
| clk_out1_design_test_ultrason_clk_wiz_0 |              sys_clk_pin |                           design_test_ultrason_i/ila_0/U0/ila_core_inst/shifted_data_in_reg[7][17]_srl8/D|
| clk_out1_design_test_ultrason_clk_wiz_0 |              sys_clk_pin |                           design_test_ultrason_i/ila_0/U0/ila_core_inst/shifted_data_in_reg[7][33]_srl8/D|
| clk_out1_design_test_ultrason_clk_wiz_0 |              sys_clk_pin |                           design_test_ultrason_i/ila_0/U0/ila_core_inst/shifted_data_in_reg[7][35]_srl8/D|
| clk_out1_design_test_ultrason_clk_wiz_0 |              sys_clk_pin |design_test_ultrason_i/ila_0/U0/ila_core_inst/u_trig/U_TM/N_DDR_MODE.G_NMU[7].U_M/allx_typeA_match_detection.ltlib_v1_0_0_allx_typeA_inst/probeDelay1_reg[7]/D|
| clk_out1_design_test_ultrason_clk_wiz_0 |              sys_clk_pin |                           design_test_ultrason_i/ila_0/U0/ila_core_inst/shifted_data_in_reg[7][32]_srl8/D|
| clk_out1_design_test_ultrason_clk_wiz_0 |              sys_clk_pin |                           design_test_ultrason_i/ila_0/U0/ila_core_inst/shifted_data_in_reg[7][38]_srl8/D|
| clk_out1_design_test_ultrason_clk_wiz_0 |              sys_clk_pin |                           design_test_ultrason_i/ila_0/U0/ila_core_inst/shifted_data_in_reg[7][27]_srl8/D|
| clk_out1_design_test_ultrason_clk_wiz_0 |              sys_clk_pin |                           design_test_ultrason_i/ila_0/U0/ila_core_inst/shifted_data_in_reg[7][21]_srl8/D|
| clk_out1_design_test_ultrason_clk_wiz_0 |              sys_clk_pin |                           design_test_ultrason_i/ila_0/U0/ila_core_inst/shifted_data_in_reg[7][25]_srl8/D|
| clk_out1_design_test_ultrason_clk_wiz_0 |              sys_clk_pin |design_test_ultrason_i/ila_0/U0/ila_core_inst/u_trig/U_TM/N_DDR_MODE.G_NMU[7].U_M/allx_typeA_match_detection.ltlib_v1_0_0_allx_typeA_inst/probeDelay1_reg[0]/D|
| clk_out1_design_test_ultrason_clk_wiz_0 |              sys_clk_pin |design_test_ultrason_i/ila_0/U0/ila_core_inst/u_trig/U_TM/N_DDR_MODE.G_NMU[7].U_M/allx_typeA_match_detection.ltlib_v1_0_0_allx_typeA_inst/probeDelay1_reg[1]/D|
| clk_out1_design_test_ultrason_clk_wiz_0 |              sys_clk_pin |                           design_test_ultrason_i/ila_0/U0/ila_core_inst/shifted_data_in_reg[7][34]_srl8/D|
| clk_out1_design_test_ultrason_clk_wiz_0 |              sys_clk_pin |                           design_test_ultrason_i/ila_0/U0/ila_core_inst/shifted_data_in_reg[7][36]_srl8/D|
| clk_out1_design_test_ultrason_clk_wiz_0 |              sys_clk_pin |                           design_test_ultrason_i/ila_0/U0/ila_core_inst/shifted_data_in_reg[7][24]_srl8/D|
| clk_out1_design_test_ultrason_clk_wiz_0 |              sys_clk_pin |                           design_test_ultrason_i/ila_0/U0/ila_core_inst/shifted_data_in_reg[7][26]_srl8/D|
| clk_out1_design_test_ultrason_clk_wiz_0 |              sys_clk_pin |                           design_test_ultrason_i/ila_0/U0/ila_core_inst/shifted_data_in_reg[7][28]_srl8/D|
| clk_out1_design_test_ultrason_clk_wiz_0 |              sys_clk_pin |                            design_test_ultrason_i/ila_0/U0/ila_core_inst/shifted_data_in_reg[7][6]_srl8/D|
| clk_out1_design_test_ultrason_clk_wiz_0 |              sys_clk_pin |                           design_test_ultrason_i/ila_0/U0/ila_core_inst/shifted_data_in_reg[7][29]_srl8/D|
| clk_out1_design_test_ultrason_clk_wiz_0 |              sys_clk_pin |design_test_ultrason_i/ila_0/U0/ila_core_inst/u_trig/U_TM/N_DDR_MODE.G_NMU[8].U_M/allx_typeA_match_detection.ltlib_v1_0_0_allx_typeA_inst/probeDelay1_reg[1]/D|
| clk_out1_design_test_ultrason_clk_wiz_0 |              sys_clk_pin |                           design_test_ultrason_i/ila_0/U0/ila_core_inst/shifted_data_in_reg[7][30]_srl8/D|
| clk_out1_design_test_ultrason_clk_wiz_0 |              sys_clk_pin |                            design_test_ultrason_i/ila_0/U0/ila_core_inst/shifted_data_in_reg[7][5]_srl8/D|
| clk_out1_design_test_ultrason_clk_wiz_0 |              sys_clk_pin |                           design_test_ultrason_i/ila_0/U0/ila_core_inst/shifted_data_in_reg[7][18]_srl8/D|
| clk_out1_design_test_ultrason_clk_wiz_0 |              sys_clk_pin |design_test_ultrason_i/ila_0/U0/ila_core_inst/u_trig/U_TM/N_DDR_MODE.G_NMU[7].U_M/allx_typeA_match_detection.ltlib_v1_0_0_allx_typeA_inst/probeDelay1_reg[8]/D|
| clk_out1_design_test_ultrason_clk_wiz_0 |              sys_clk_pin |design_test_ultrason_i/ila_0/U0/ila_core_inst/u_trig/U_TM/N_DDR_MODE.G_NMU[7].U_M/allx_typeA_match_detection.ltlib_v1_0_0_allx_typeA_inst/probeDelay1_reg[6]/D|
| clk_out1_design_test_ultrason_clk_wiz_0 |              sys_clk_pin |design_test_ultrason_i/ila_0/U0/ila_core_inst/u_trig/U_TM/N_DDR_MODE.G_NMU[7].U_M/allx_typeA_match_detection.ltlib_v1_0_0_allx_typeA_inst/probeDelay1_reg[3]/D|
