Removed Pin From Net: NetName=BAT_NEED_CHARGE Pin=J14-7
Removed Pin From Net: NetName=BAT_CHARGING Pin=J14-8
Removed Pin From Net: NetName=+3V3 Pin=R31-1
Removed Pin From Net: NetName=+12V Pin=R33-2
Removed Pin From Net: NetName=GND Pin=R34-1
Removed Pin From Net: NetName=GND Pin=R36-2
Removed Pin From Net: NetName=+5V Pin=U31-5
Removed Pin From Net: NetName=GND Pin=U32-3
Removed Pin From Net: NetName=BAT_NEED_CHARGE Pin=U32-4
Removed Pin From Net: NetName=+3V3 Pin=U32-5
Change Component Footprint: Designator=U31 Old Footprint=FP-DBV0005A-IPC_A New Footprint=MK06A_N
Change Component Comment : Designator=R31 Old Comment=10k New Comment=91k
Change Component Comment : Designator=R32 Old Comment=953k New Comment=20K
Change Component Comment : Designator=U31 Old Comment=OPA607QDBVRQ1 New Comment=ADC101C021CIMKX/NOPB
Change component parameters: Designator = "U31" ("U31"); Footprint = "FP-DBV0005A-IPC_A"; UniqueID = "\EOUBIPRE" ("\EOUBIPRE")
Change component parameters (AddParameter): Name = "Case/Package"; Value = "TSSOP"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Category"; Value = "Analog to Digital Converters (ADCs)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1Description"; Value = "https://datasheet.ciiva.com/13061/snas446c-181689-13061009.pdf?src-supplier=Mouser"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1URL"; Value = "https://datasheet.ciiva.com/13061/snas446c-181689-13061009.pdf?src-supplier=Mouser"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2Description"; Value = "https://datasheet.ciiva.com/14259/adc101c027-14259479.pdf?src-supplier=Avnet"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2URL"; Value = "https://datasheet.ciiva.com/14259/adc101c027-14259479.pdf?src-supplier=Avnet"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink3Description"; Value = "https://datasheet.ciiva.com/6662/adc101c021-6662764.pdf?src-supplier=Digi-Key"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink3URL"; Value = "https://datasheet.ciiva.com/6662/adc101c021-6662764.pdf?src-supplier=Digi-Key"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Contact Plating"; Value = "Tin,Matte"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Conversion Rate"; Value = "188.9KS/s"; VariantName = "[No Variations]"
