Removed Pin From Net: NetName=NetJ1_2 Pin=J2-1
Removed Pin From Net: NetName=NetD1_2 Pin=Q5-1
Removed Pin From Net: NetName=NetD3_2 Pin=Q5-3
Removed Pin From Net: NetName=NetD2_2 Pin=Q6-1
Removed Pin From Net: NetName=NetD4_2 Pin=Q6-3
Change Component DesignItemId : Designator=J1 Old DesignItemId= New DesignItemId=M20-9990246
Change Component DesignItemId : Designator=J2 Old DesignItemId=PJ-042H New DesignItemId=PJ-080BH
Change Component DesignItemId : Designator=Q5 Old DesignItemId=ZXTN19055DZTA New DesignItemId=BC63916-D74Z
Change Component DesignItemId : Designator=Q6 Old DesignItemId=ZXTN19055DZTA New DesignItemId=BC63916-D74Z
Change Component Footprint: Designator=J2 Old Footprint=CUI_PJ-042H New Footprint=CUI_PJ-080BH
Change Component Footprint: Designator=Q5 Old Footprint=VREG_AP2204RA-3.3TRG1 New Footprint=TO92127P478H483-3
Change Component Footprint: Designator=Q6 Old Footprint=VREG_AP2204RA-3.3TRG1 New Footprint=TO92127P478H483-3
Change Component Comment : Designator=J2 Old Comment=PJ-042H New Comment=PJ-080BH
Change Component Comment : Designator=Q5 Old Comment=ZXTN19055DZTA New Comment=BC63916-D74Z
Change Component Comment : Designator=Q6 Old Comment=ZXTN19055DZTA New Comment=BC63916-D74Z
Change Component Description : Designator=J2 Old Description=1.65 x 5.15 mm, 5.0 A, Horizontal, Through Hole, Kinked Pins, Dc Power Jack Connector New Description=Power Barrel Connector Jack 2.50mm ID (0.098"), 5.50mm OD (0.217") Through Hole,
Change Component Description : Designator=Q5 Old Description=TRANS NPN 55V 6A SOT89 New Description=NPN Medium Power Transistor
Change Component Description : Designator=Q6 Old Description=TRANS NPN 55V 6A SOT89 New Description=NPN Medium Power Transistor
Change Component Library : Designator=Q5 Old Library=lib_station_de_charge.SchLib New Library=station_de_charge_SchLib.SchLib
Change Component Library : Designator=Q6 Old Library=lib_station_de_charge.SchLib New Library=station_de_charge_SchLib.SchLib
Change component parameters: Designator = "J2" ("J2"); Footprint = "CUI_PJ-042H"; UniqueID = "\QSTLYYNG" ("\QSTLYYNG")
Change component parameters (AddParameter): Name = "Category"; Value = "Connectors"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Color"; Value = "Black"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1Description"; Value = "https://www.cui.com/product/resource/digikeypdf/pj-080bh.pdf?src-supplier=Digi-Key"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1URL"; Value = "https://www.cui.com/product/resource/digikeypdf/pj-080bh.pdf?src-supplier=Digi-Key"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Connector Type"; Value = "Jack"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Contact Material"; Value = "Brass"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Contact Plating"; Value = "Silver"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Current Rating"; Value = "10A"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Gender"; Value = "Male"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Housing Color"; Value = "Black"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Housing Material"; Value = "Nylon"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Lead Free"; Value = "Lead Free"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "CUI"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer Part Number"; Value = "PJ-080BH"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Max Operating Temperature"; Value = "85°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Min Operating Temperature"; Value = "-25°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Mount"; Value = "Through Hole"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Number of Conductors"; Value = "2"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Orientation"; Value = "Horizontal"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Packaging"; Value = "Tape and Reel"; VariantName = "[No Variations]"
